Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Any data questionable,,,,,,,,,,,,,,1
Trenton Indian Service Area Aging Program,Trenton,ND,8R03-019,80266,Tribe,Reduced Reporter,0 , 7 ,DR,DO,7,, -   ,  , 55.55 ,  , -   ,  , 4.17 ,  ,0 ,  ,0 ,  ,"53,827 ",  ,,  ,0 ,  ,969 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"4,043 ",  ,0 ,,No,,,,,,,,,,,,,,
Cape Fear Public Transportation Authority,Wilmington,NC,4006,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,"219,957 ", 44 ,VP,DO,3,, -   ,  , 55.21 ,  , 47.67 ,  , 5.67 ,  ,0 ,  ,"72,653 ",  ,"72,653 ",  ,0 ,  ,"1,316 ",  ,"1,316 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"7,468 ",  ,"355,980 ",,No,,,,,,,,,,,,,,
Gulkana Village Council,Gakona,AK,0T08,00085,Tribe,Reduced Reporter,0 , 4 ,DR,DO,2,, -   ,  , 54.81 ,  , -   ,  , 0.65 ,  ,0 ,  ,0 ,  ,"6,797 ",  ,,  ,0 ,  ,124 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,80 ,  ,0 ,,No,,,,,,,,,,,,,,
VPSI,Clermont,FL,4R02-075,4R02-41095,Private-For-Profit Corporation,Rural Reporter,0 , 35 ,VP,DO,35,, -   ,  , 54.81 ,  , -   ,  , 5.96 ,  ,0 ,  ,0 ,  ,"992,910 ",  ,,  ,0 ,  ,"18,115 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"107,947 ",  ,0 ,,No,,,,,,,,,,,,,,
El Paso County ,El Paso ,TX,6R05-034,6R05-60179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 13 ,VP,PT,8,, -   ,  , 54.41 ,  , -   ,  , 6.35 ,  ,0 ,  ,0 ,  ,"1,363,502 ",  ,,  ,0 ,  ,"25,062 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"159,194 ",  ,0 ,,No,,,,,,,,,,,,,,
Kaser Bus Service,Monsey,NY,2176,20176,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"18,351,295 ", 2 ,MB,PT,2,, -   ,  , 54.40 , Q , -   ,  , 15.11 , Q ,0 ,  ,0 ,  ,"131,648 ", Q ,,  ,0 ,  ,"2,420 ", Q ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"36,574 ",  ,0 ,,Yes,,,,,,,,,,,,,,
Summit County,Breckenridge,CO,8R01-021,8R01-80161,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 29 ,DR,DO,3,, -   ,  , 54.11 , Q , -   ,  , 2.91 , Q ,0 ,  ,0 ,  ,"114,600 ",  ,,  ,0 ,  ,"2,118 ", Q ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"6,168 ",  ,0 ,,Yes,,,,,,,,,,,,,,
Ms Coast Transportation Authority,Gulfport,MS,4014,40014,Independent Public Agency or Authority of Transit Service,Full Reporter,"208,948 ", 76 ,VP,PT,44,, -   ,  , 53.74 ,  , 47.95 ,  , 8.32 ,  ,0 ,  ,"981,933 ",  ,"981,933 ",  ,0 ,  ,"18,271 ",  ,"18,271 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"151,927 ",  ,"7,285,159 ",,No,,,,,,,,,,,,,,
Hopi Tribe,Kykotsmovi,AZ,9T24,99382,Tribe,Reduced Reporter,0 , 5 ,MB,DO,5,, -   ,  , 53.41 ,  , -   ,  , 2.26 ,  ,0 ,  ,0 ,  ,"224,006 ",  ,,  ,0 ,  ,"4,194 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"9,461 ",  ,0 ,,No,,,,,,,,,,,,,,
Omaha Tribe Public Transit,Macy,NE,,77077,Tribe,Reduced Reporter,0 , 4 ,DR,DO,4,, -   ,  , 53.36 , W , -   ,  , 1.48 , W ,0 ,  ,0 ,  ,"221,989 ", W ,,  ,0 ,  ,"4,160 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"6,152 ",  ,0 ,,No,,,,,,,,,,,,,,
Greater Richmond Transit Company,Richmond,VA,3006,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"953,556 ", 328 ,VP,PT,151,, -   ,  , 52.73 ,  , 72.87 ,  , 4.68 ,  ,0 ,  ,"4,875,806 ",  ,"4,875,806 ",  ,0 ,  ,"92,466 ",  ,"92,466 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"432,297 ",  ,"31,503,564 ",,No,,,,,,,,,,,,,,
Charlotte Area Transit System,Charlotte,NC,4008,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,249,442 ", 431 ,VP,DO,79,, -   ,  , 52.10 ,  , 48.29 ,  , 6.63 ,  ,0 ,  ,"1,889,272 ",  ,"1,889,272 ",  ,0 ,  ,"36,259 ",  ,"36,259 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"240,310 ",  ,"11,604,294 ",,No,,,,,,,,,,,,,,
Lane Transit District,Eugene,OR,0007,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,"247,421 ", 325 ,VP,PT,17,, -   ,  , 50.91 ,  , 54.79 ,  , 5.41 ,  ,0 ,  ,"470,742 ",  ,"470,742 ",  ,0 ,  ,"9,246 ",  ,"9,246 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"50,021 ",  ,"2,740,833 ",,No,,,,,,,,,,,,,,
Columbia County Public Transportation,Dayton,WA,0R03-001,0R03-00383,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 15 ,VP,DO,7,, -   ,  , 50.00 , W , -   ,  , 8.95 , W ,0 ,  ,0 ,  ,"114,054 ",  ,,  ,0 ,  ,"2,281 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"20,423 ",  ,0 ,,No,,,,,,,,,,,,,,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,9206,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,"59,219 ", 44 ,CB,DO,1,, -   ,  , 49.86 ,  , 44.00 ,  , 6.76 ,  ,"34,290 ",  ,"34,920 ",  ,"34,406 ",  ,514 ,  ,900 ,  ,690 ,  ,210 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"4,666 ",  ,"205,304 ",,No,,,,,,,,,,,,,,
Winnebago Tribe of Nebraska,Winnebago,NE,7T04,70004,Tribe,Reduced Reporter,0 , 4 ,MB,DO,3,, -   ,  , 49.70 ,  , -   ,  , 9.27 ,  ,0 ,  ,0 ,  ,"197,100 ",  ,,  ,0 ,  ,"3,966 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"36,777 ",  ,0 ,,No,,,,,,,,,,,,,,
Fort Belknap Indian Community,Harlem,MT,8T05,88170,Tribe,Reduced Reporter,0 , 2 ,MB,DO,2,, -   ,  , 49.62 , Q , -   ,  , 3.03 ,  ,0 ,  ,0 ,  ,"114,816 ", Q ,,  ,0 ,  ,"2,314 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"7,020 ",  ,0 ,,Yes,,,,,,,,,,,,,,
Mountain Metropolitan Transit,Colorado Springs,CO,8005,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"559,409 ", 161 ,VP,DO,35,, -   ,  , 49.61 ,  , 65.02 ,  , 3.83 ,  ,0 ,  ,"839,371 ",  ,"839,371 ",  ,0 ,  ,"16,918 ",  ,"16,918 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"64,743 ",  ,"4,209,312 ",,No,,,,,,,,,,,,,,
Regional Transportation Commission of Washoe County,Reno,NV,9001,90001,Independent Public Agency or Authority of Transit Service,Full Reporter,"392,141 ", 181 ,VP,PT,70,, -   ,  , 49.04 ,  , 47.35 ,  , 6.56 ,  ,0 ,  ,"1,431,440 ",  ,"1,431,440 ",  ,0 ,  ,"29,192 ",  ,"29,192 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"191,622 ",  ,"9,072,453 ",,No,,,,,,,,,,,,,,
East Windsor Township,East Windsor,NJ,2194,20194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"64,037 ", 2 ,MB,PT,1,, -   ,  , 48.79 ,  , -   ,  , 12.76 ,  ,0 ,  ,0 ,  ,"30,444 ",  ,,  ,0 ,  ,624 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"7,961 ",  ,0 ,,No,,,,,,,,,,,,,,
Toole County,Shelby,MT,8R02-031,8R02-80169,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,MB,DO,3,, -   ,  , 48.52 ,  , -   ,  , 5.13 ,  ,0 ,  ,0 ,  ,"112,130 ",  ,,  ,0 ,  ,"2,311 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"11,865 ",  ,0 ,,No,,,,,,,,,,,,,,
Mid-Ohio Regional Planning Commission,Columbus,OH,5191,50191,"MPO, COG or Other Planning Agency",Full Reporter,"1,368,035 ", 29 ,VP,PT,29,, -   ,  , 48.47 ,  , 48.38 ,  , 5.70 ,  ,0 ,  ,"646,804 ",  ,"646,804 ",  ,0 ,  ,"13,345 ",  ,"13,345 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"76,104 ",  ,"3,682,276 ",,No,,,,,,,,,,,,,,
Regional Planning Commission of Greater Birmingham,Birmingham,AL,4169,40169,"MPO, COG or Other Planning Agency",Full Reporter,"749,495 ", 35 ,VP,PT,35,, -   ,  , 48.44 ,  , 52.86 ,  , 4.74 ,  ,0 ,  ,"867,428 ",  ,"867,428 ",  ,0 ,  ,"17,907 ",  ,"17,907 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"84,860 ",  ,"4,485,449 ",,No,,,,,,,,,,,,,,
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,758,210 ", 786 ,VP,PT,195,, -   ,  , 48.42 ,  , 44.47 ,  , 5.94 ,  ,0 ,  ,"3,739,483 ",  ,"3,739,483 ",  ,0 ,  ,"77,227 ",  ,"77,227 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"459,078 ",  ,"20,414,798 ",,No,,,,,,,,,,,,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,935 ", 246 ,VP,DO,32,, -   ,  , 48.34 ,  , 48.20 ,  , 3.41 ,  ,0 ,  ,"772,192 ",  ,"772,192 ",  ,0 ,  ,"15,973 ",  ,"15,973 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"54,500 ",  ,"2,626,960 ",,No,,,,,,,,,,,,,,
Fayette County Transportation Program,Washington Court House,OH,5R05-051,5R05-50410,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 11 ,DR,DO,11,, -   ,  , 48.24 ,  , -   ,  , 9.85 ,  ,0 ,  ,0 ,  ,"214,682 ",  ,,  ,0 ,  ,"4,450 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"43,827 ",  ,0 ,,No,,,,,,,,,,,,,,
Tompkins Consolidated Area Transit,Ithaca,NY,2145,20145,Private-Non-Profit Corporation,Full Reporter,"53,661 ", 66 ,VP,PT,2,, -   ,  , 47.98 ,  , 29.60 ,  , 4.87 ,  ,0 ,  ,"29,556 ",  ,"29,556 ",  ,0 ,  ,616 ,  ,616 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"3,000 ",  ,"88,813 ",,No,,,,,,,,,,,,,,
"vRide, Inc. - Tucson",Tucson,AZ,9228,90228,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,"843,168 ", 33 ,VP,DO,33,, -   ,  , 47.76 ,  , 48.26 ,  , 5.33 ,  ,0 ,  ,"710,931 ",  ,"710,931 ",  ,0 ,  ,"14,886 ",  ,"14,886 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"79,387 ",  ,"3,830,823 ",,No,,,,,,,,,,,,,,
Victor Valley Transit Authority,Hesperia,CA,9148,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,"328,454 ", 245 ,VP,PT,173,, -   ,  , 47.40 ,  , 45.99 ,  , 6.17 ,  ,0 ,  ,"4,056,887 ",  ,"4,056,887 ",  ,0 ,  ,"85,581 ",  ,"85,581 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"527,702 ",  ,"24,270,469 ",,No,,,,,,,,,,,,,,
Regional Transportation Authority,Nashville,TN,4159,40159,Independent Public Agency or Authority of Transit Service,Full Reporter,"969,587 ", 74 ,VP,PT,49,, -   ,  , 47.22 ,  , 24.49 ,  , 8.94 ,  ,0 ,  ,"855,020 ",  ,"855,020 ",  ,0 ,  ,"18,107 ",  ,"18,107 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"161,870 ",  ,"3,964,051 ",,No,,,,,,,,,,,,,,
Jefferson County Service Organization,Oskaloosa,KS,7R02-008,7R02-70103,Private-Non-Profit Corporation,Rural Reporter,0 , 8 ,DR,DO,8,, -   ,  , 47.19 ,  , -   ,  , 2.12 ,  ,0 ,  ,0 ,  ,"133,364 ",  ,,  ,0 ,  ,"2,826 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"5,994 ",  ,0 ,,No,,,,,,,,,,,,,,
Enterprise Rideshare,Atlanta,GA,4203,40203,Private-For-Profit Corporation,Full Reporter,"4,515,419 ", 72 ,VP,DO,72,, -   ,  , 47.19 ,  , 51.89 ,  , 5.06 ,  ,0 ,  ,"1,446,364 ",  ,"1,446,364 ",  ,0 ,  ,"30,649 ",  ,"30,649 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"155,115 ",  ,"8,049,297 ",,No,,,,,,,,,,,,,,
Linn County,Mound City,KS,7R02-062,7R02-70096,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 2 ,DR,DO,2,, -   ,  , 47.06 ,  , -   ,  , 2.23 ,  ,0 ,  ,0 ,  ,"34,024 ",  ,,  ,0 ,  ,723 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,612 ",  ,0 ,,No,,,,,,,,,,,,,,
City of Moscow,Moscow,ID,0R01-024,0R01-00288,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 3 ,VP,DO,3,, -   ,  , 46.67 ,  , -   ,  , 1.34 ,  ,0 ,  ,0 ,  ,"229,388 ",  ,,  ,0 ,  ,"4,915 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"6,563 ",  ,0 ,,No,,,,,,,,,,,,,,
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,9233,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,"135,267 ", 49 ,VP,PT,24,, -   ,  , 46.53 ,  , 33.31 ,  , 7.59 ,  ,0 ,  ,"174,013 ",  ,"174,013 ",  ,0 ,  ,"3,740 ",  ,"3,740 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"28,372 ",  ,"944,992 ",,No,,,,,,,,,,,,,,
Space Coast Area Transit,Cocoa,FL,4063,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"452,791 ", 154 ,VP,PT,47,, -   ,  , 46.52 ,  , 45.28 ,  , 6.59 ,  ,0 ,  ,"1,005,449 ",  ,"1,005,449 ",  ,0 ,  ,"21,612 ",  ,"21,612 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"142,410 ",  ,"6,448,435 ",,No,,,,,,,,,,,,,,
Choctaw Nation of Oklahoma,Hugo,OK,6T03,60003,Tribe,Reduced Reporter,0 , 18 ,DR,DO,18,, -   ,  , 46.40 ,  , -   ,  , 1.92 ,  ,0 ,  ,0 ,  ,"814,914 ",  ,,  ,0 ,  ,"17,562 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"33,642 ",  ,0 ,,No,,,,,,,,,,,,,,
Yakima Transit,Yakima,WA,0006,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"129,534 ", 69 ,VP,DO,20,, -   ,  , 46.14 ,  , 47.34 ,  , 8.52 ,  ,0 ,  ,"355,338 ",  ,"355,338 ",  ,0 ,  ,"7,702 ",  ,"7,702 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"65,659 ",  ,"3,108,304 ",,No,,,,,,,,,,,,,,
"Trans-Bridge Lines, Inc. ",Bethlehem,PA,2169,20169,Private-For-Profit Corporation,Full Reporter,"18,351,295 ", 51 ,CB,DO,51,, -   ,  , 46.09 ,  , -   , W , 14.00 ,  ,"3,877,439 ",  ,"4,034,074 ",  ,"3,877,439 ",  ,"156,635 ",  ,"89,005 ",  ,"84,120 ",  ,"4,885 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,177,401 ",  ,0 ,W,No,,,,,,,,,,,,,,
Mid-Columbia Council of Governments,The Dalles,OR,0R02-009,0R02-00396,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 8 ,CB,DO,1,, -   ,  , 46.00 ,  , -   ,  , 4.14 ,  ,0 ,  ,0 ,  ,"9,154 ",  ,,  ,0 ,  ,199 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,824 ,  ,0 ,,No,,,,,,,,,,,,,,
Kentuckiana Regional Planning and Development Agency,Louisville,KY,4196,40196,"MPO, COG or Other Planning Agency",Full Reporter,"972,546 ", 81 ,VP,DO,81,, -   ,  , 46.00 ,  , 39.11 ,  , 6.63 ,  ,0 ,  ,"1,425,753 ",  ,"1,425,753 ",  ,0 ,  ,"30,995 ",  ,"30,995 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"205,436 ",  ,"8,035,434 ",,No,,,,,,,,,,,,,,
"VRide, Inc. - Michigan",Farmington Hills,MI,5193,50193,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,"3,734,090 ", 539 ,VP,DO,539,, -   ,  , 45.67 ,  , 34.56 ,  , 5.96 ,  ,0 ,  ,"9,489,820 ",  ,"9,489,820 ",  ,0 ,  ,"207,800 ",  ,"207,800 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,238,351 ",  ,"42,802,271 ",,No,,,,,,,,,,,,,,
Central Indiana Regional Transportation Authority ,Indianapolis,IN,5209,50209,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"1,487,483 ", 29 ,VP,PT,26,, -   ,  , 45.62 ,  , -   ,  , 8.32 ,  ,0 ,  ,0 ,  ,"458,599 ",  ,,  ,0 ,  ,"10,053 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"83,626 ",  ,0 ,,No,,,,,,,,,,,,,,
San Diego Association of Governments,San Diego,CA,9095,90095,"MPO, COG or Other Planning Agency",Full Reporter,"2,956,746 ", 714 ,VP,PT,714,, -   ,  , 45.53 ,  , 46.94 ,  , 5.73 ,  ,0 ,  ,"17,165,366 ",  ,"17,165,366 ",  ,0 ,  ,"376,972 ",  ,"376,972 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"2,160,324 ",  ,"101,406,673 ",,No,,,,,,,,,,,,,,
Ben Franklin Transit,Richland,WA,0018,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,"210,975 ", 440 ,VP,DO,276,, -   ,  , 45.49 ,  , 31.95 ,  , 9.50 ,  ,0 ,  ,"3,804,373 ",  ,"3,804,373 ",  ,0 ,  ,"83,627 ",  ,"83,627 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"794,579 ",  ,"25,387,184 ",,No,,,,,,,,,,,,,,
National Capital Region Transportation Planning Board,Washington,DC,3106,30106,"MPO, COG or Other Planning Agency",Reduced Reporter,"4,586,770 ", 11 ,VP,PT,11,, -   ,  , 45.12 ,  , -   ,  , 8.34 ,  ,0 ,  ,0 ,  ,"159,491 ",  ,,  ,0 ,  ,"3,535 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"29,480 ",  ,0 ,,No,,,,,,,,,,,,,,
Jefferson Transit,Port Townsend,WA,0R03-035,0R03-00316,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 21 ,VP,DO,4,, -   ,  , 45.00 , W , -   ,  , 7.73 , W ,0 ,  ,0 ,  ,"79,245 ",  ,,  ,0 ,  ,"1,761 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"13,612 ",  ,0 ,,No,,,,,,,,,,,,,,
